date,price1,price2,choice
2021-01-01 09:46:00+05:30,76.2,76.15,R
2021-01-01 09:47:00+05:30,76.2,76.15,R
2021-01-01 09:48:00+05:30,76.2,76.15,R
2021-01-01 10:06:00+05:30,76.1,75.9,R
2021-01-01 10:07:00+05:30,75.9,75.85,R
2021-01-01 10:08:00+05:30,75.9,75.85,R
2021-01-01 10:49:00+05:30,76.1,76.05,R
2021-01-01 10:50:00+05:30,76.1,76.05,R
2021-01-01 10:51:00+05:30,76.1,76.05,R
2021-01-01 11:24:00+05:30,76.8,76.75,R
2021-01-01 11:25:00+05:30,76.8,76.75,R
2021-01-01 11:26:00+05:30,76.8,76.75,R
2021-01-01 15:02:00+05:30,77.4,77.35,R
2021-01-01 15:03:00+05:30,77.4,77.35,R
2021-01-01 15:04:00+05:30,77.4,77.35,R
2021-01-01 15:03:00+05:30,77.4,77.35,R
2021-01-01 15:04:00+05:30,77.4,77.35,R
2021-01-01 15:05:00+05:30,77.45,77.35,R
2021-01-04 10:01:00+05:30,78.9,78.85,R
2021-01-04 10:02:00+05:30,78.85,78.8,R
2021-01-04 10:03:00+05:30,78.85,78.8,R
2021-01-05 12:36:00+05:30,81.3,81.2,R
2021-01-05 12:37:00+05:30,81.2,81.1,R
2021-01-05 12:38:00+05:30,81.15,81.1,R
2021-01-05 14:17:00+05:30,82.1,82.05,R
2021-01-05 14:18:00+05:30,82.1,82.0,R
2021-01-05 14:19:00+05:30,82.05,82.0,R
2021-01-05 15:15:00+05:30,81.3,81.2,R
2021-01-05 15:16:00+05:30,81.2,81.05,R
2021-01-05 15:17:00+05:30,81.1,81.05,R
2021-01-06 09:48:00+05:30,82.1,82.0,R
2021-01-06 09:49:00+05:30,82.0,81.9,R
2021-01-06 09:50:00+05:30,81.95,81.9,R
2021-01-06 12:43:00+05:30,82.65,82.6,R
2021-01-06 12:44:00+05:30,82.55,82.5,R
2021-01-06 12:45:00+05:30,82.55,82.5,R
2021-01-07 09:42:00+05:30,83.2,83.15,R
2021-01-07 09:43:00+05:30,83.15,83.1,R
2021-01-07 09:44:00+05:30,83.15,83.1,R
2021-01-07 11:20:00+05:30,82.2,81.95,R
2021-01-07 11:21:00+05:30,82.0,81.9,R
2021-01-07 11:22:00+05:30,82.0,81.95,R
2021-01-07 14:02:00+05:30,82.0,81.95,R
2021-01-07 14:03:00+05:30,82.0,81.95,R
2021-01-07 14:04:00+05:30,82.0,81.95,R
2021-01-07 14:03:00+05:30,82.0,81.95,R
2021-01-07 14:04:00+05:30,82.0,81.95,R
2021-01-07 14:05:00+05:30,82.0,81.95,R
2021-01-07 14:04:00+05:30,82.0,81.95,R
2021-01-07 14:05:00+05:30,82.0,81.95,R
2021-01-07 14:06:00+05:30,82.0,81.95,R
2021-01-07 14:32:00+05:30,82.2,82.15,R
2021-01-07 14:33:00+05:30,82.15,82.05,R
2021-01-07 14:34:00+05:30,82.1,82.05,R
2021-01-07 15:00:00+05:30,82.0,81.95,R
2021-01-07 15:01:00+05:30,81.95,81.85,R
2021-01-07 15:02:00+05:30,81.9,81.85,R
2021-01-08 11:24:00+05:30,83.0,82.95,R
2021-01-08 11:25:00+05:30,83.0,82.95,R
2021-01-08 11:26:00+05:30,83.0,82.95,R
2021-01-08 11:50:00+05:30,83.0,82.95,R
2021-01-08 11:51:00+05:30,83.0,82.95,R
2021-01-08 11:52:00+05:30,83.0,82.95,R
2021-01-08 13:37:00+05:30,83.0,82.95,R
2021-01-08 13:38:00+05:30,83.0,82.95,R
2021-01-08 13:39:00+05:30,83.0,82.95,R
2021-01-08 14:21:00+05:30,82.9,82.8,R
2021-01-08 14:22:00+05:30,82.85,82.8,R
2021-01-08 14:23:00+05:30,82.85,82.8,R
2021-01-11 11:31:00+05:30,83.0,82.95,R
2021-01-11 11:32:00+05:30,83.0,82.9,R
2021-01-11 11:33:00+05:30,82.95,82.9,R
2021-01-11 11:36:00+05:30,83.0,82.95,R
2021-01-11 11:37:00+05:30,83.0,82.95,R
2021-01-11 11:38:00+05:30,83.0,82.95,R
2021-01-11 11:52:00+05:30,83.05,83.0,R
2021-01-11 11:53:00+05:30,83.0,82.95,R
2021-01-11 11:54:00+05:30,83.0,82.95,R
2021-01-11 12:31:00+05:30,82.95,82.9,R
2021-01-11 12:32:00+05:30,82.9,82.85,R
2021-01-11 12:33:00+05:30,82.9,82.85,R
2021-01-11 14:58:00+05:30,83.4,83.35,R
2021-01-11 14:59:00+05:30,83.35,83.3,R
2021-01-11 15:00:00+05:30,83.35,83.3,R
2021-01-11 15:20:00+05:30,83.45,83.4,R
2021-01-11 15:21:00+05:30,83.4,83.3,R
2021-01-11 15:22:00+05:30,83.35,83.3,R
2021-01-12 09:52:00+05:30,84.55,84.5,R
2021-01-12 09:53:00+05:30,84.5,84.45,R
2021-01-12 09:54:00+05:30,84.5,84.45,R
2021-01-12 11:31:00+05:30,87.25,87.05,R
2021-01-12 11:32:00+05:30,87.05,86.9,R
2021-01-12 11:33:00+05:30,86.95,86.9,R
2021-01-12 14:48:00+05:30,86.4,86.35,R
2021-01-12 14:49:00+05:30,86.35,86.3,R
2021-01-12 14:50:00+05:30,86.35,86.3,R
2021-01-13 09:37:00+05:30,87.1,86.95,R
2021-01-13 09:38:00+05:30,86.95,86.9,R
2021-01-13 09:39:00+05:30,86.95,86.9,R
2021-01-14 13:18:00+05:30,86.0,85.95,R
2021-01-14 13:19:00+05:30,86.0,85.9,R
2021-01-14 13:20:00+05:30,85.95,85.9,R
2021-01-14 13:59:00+05:30,85.95,85.85,R
2021-01-14 14:00:00+05:30,85.9,85.85,R
2021-01-14 14:01:00+05:30,85.95,85.9,R
2021-01-14 14:16:00+05:30,85.85,85.75,R
2021-01-14 14:17:00+05:30,85.8,85.75,R
2021-01-14 14:18:00+05:30,85.85,85.8,R
2021-01-14 14:18:00+05:30,85.85,85.8,R
2021-01-14 14:19:00+05:30,85.85,85.75,R
2021-01-14 14:20:00+05:30,85.8,85.75,R
2021-01-14 14:19:00+05:30,85.85,85.75,R
2021-01-14 14:20:00+05:30,85.8,85.75,R
2021-01-14 14:21:00+05:30,85.8,85.75,R
2021-01-15 10:36:00+05:30,87.2,87.15,R
2021-01-15 10:37:00+05:30,87.15,87.05,R
2021-01-15 10:38:00+05:30,87.1,87.05,R
2021-01-15 11:13:00+05:30,87.05,87.0,R
2021-01-15 11:14:00+05:30,86.95,86.9,R
2021-01-15 11:15:00+05:30,86.95,86.9,R
2021-01-15 11:24:00+05:30,86.55,86.5,R
2021-01-15 11:25:00+05:30,86.5,86.35,R
2021-01-15 11:26:00+05:30,86.4,86.35,R
2021-01-15 11:25:00+05:30,86.5,86.35,R
2021-01-15 11:26:00+05:30,86.4,86.35,R
2021-01-15 11:27:00+05:30,86.45,86.4,R
2021-01-15 11:27:00+05:30,86.45,86.4,R
2021-01-15 11:28:00+05:30,86.4,86.35,R
2021-01-15 11:29:00+05:30,86.4,86.35,R
2021-01-15 14:15:00+05:30,85.25,85.05,R
2021-01-15 14:16:00+05:30,85.0,84.8,R
2021-01-15 14:17:00+05:30,84.85,84.8,R
2021-01-18 09:16:00+05:30,84.8,84.35,R
2021-01-18 09:17:00+05:30,84.45,84.2,R
2021-01-18 09:18:00+05:30,84.3,84.25,R
2021-01-18 09:28:00+05:30,84.4,84.15,R
2021-01-18 09:29:00+05:30,84.15,83.95,R
2021-01-18 09:30:00+05:30,84.0,83.95,R
2021-01-18 10:36:00+05:30,81.25,81.2,R
2021-01-18 10:37:00+05:30,81.2,81.15,R
2021-01-18 10:38:00+05:30,81.2,81.15,R
2021-01-19 10:38:00+05:30,83.9,83.8,R
2021-01-19 10:39:00+05:30,83.9,83.8,R
2021-01-19 10:40:00+05:30,83.85,83.8,R
2021-01-20 10:43:00+05:30,85.5,85.4,R
2021-01-20 10:44:00+05:30,85.4,85.35,R
2021-01-20 10:45:00+05:30,85.4,85.35,R
2021-01-20 11:10:00+05:30,85.15,85.1,R
2021-01-20 11:11:00+05:30,85.1,85.05,R
2021-01-20 11:12:00+05:30,85.1,85.05,R
2021-01-20 11:27:00+05:30,85.25,85.2,R
2021-01-20 11:28:00+05:30,85.2,85.15,R
2021-01-20 11:29:00+05:30,85.2,85.15,R
2021-01-20 13:29:00+05:30,84.7,84.65,R
2021-01-20 13:30:00+05:30,84.7,84.6,R
2021-01-20 13:31:00+05:30,84.65,84.6,R
2021-01-20 15:28:00+05:30,84.8,84.7,R
2021-01-20 15:29:00+05:30,84.7,84.55,R
2021-01-21 09:15:00+05:30,85.5,85.45,R
2021-01-21 13:20:00+05:30,84.05,84.0,R
2021-01-21 13:21:00+05:30,84.0,83.95,R
2021-01-21 13:22:00+05:30,84.0,83.95,R
2021-01-21 15:01:00+05:30,83.35,83.25,R
2021-01-21 15:02:00+05:30,83.25,83.0,R
2021-01-21 15:03:00+05:30,83.1,83.0,R
2021-01-22 12:28:00+05:30,79.7,79.65,R
2021-01-22 12:29:00+05:30,79.65,79.6,R
2021-01-22 12:30:00+05:30,79.65,79.6,R
2021-01-25 10:58:00+05:30,79.6,79.45,R
2021-01-25 10:59:00+05:30,79.45,79.4,R
2021-01-25 11:00:00+05:30,79.45,79.4,R
2021-01-25 13:17:00+05:30,80.8,80.7,R
2021-01-25 13:18:00+05:30,80.65,80.5,R
2021-01-25 13:19:00+05:30,80.55,80.5,R
2021-01-25 13:52:00+05:30,80.0,79.9,R
2021-01-25 13:53:00+05:30,79.95,79.9,R
2021-01-25 13:54:00+05:30,80.0,79.9,R
2021-01-25 14:53:00+05:30,79.35,79.3,R
2021-01-25 14:54:00+05:30,79.35,79.2,R
2021-01-25 14:55:00+05:30,79.25,79.2,R
2021-01-25 14:54:00+05:30,79.35,79.2,R
2021-01-25 14:55:00+05:30,79.25,79.2,R
2021-01-25 14:56:00+05:30,79.25,79.2,R
2021-01-27 10:59:00+05:30,78.4,78.35,R
2021-01-27 11:00:00+05:30,78.35,78.25,R
2021-01-27 11:01:00+05:30,78.35,78.3,R
2021-01-27 12:20:00+05:30,77.35,77.05,R
2021-01-27 12:21:00+05:30,77.1,76.95,R
2021-01-27 12:22:00+05:30,77.05,77.0,R
2021-01-28 09:51:00+05:30,75.65,75.55,R
2021-01-28 09:52:00+05:30,75.6,75.4,R
2021-01-28 09:53:00+05:30,75.45,75.4,R
2021-01-28 10:40:00+05:30,76.65,76.55,R
2021-01-28 10:41:00+05:30,76.55,76.35,R
2021-01-28 10:42:00+05:30,76.4,76.35,R
2021-01-28 12:51:00+05:30,76.15,76.05,R
2021-01-28 12:52:00+05:30,76.1,75.95,R
2021-01-28 12:53:00+05:30,76.0,75.95,R
2021-01-28 12:56:00+05:30,75.9,75.8,R
2021-01-28 12:57:00+05:30,75.85,75.8,R
2021-01-28 12:58:00+05:30,75.85,75.8,R
2021-01-29 09:18:00+05:30,78.2,78.0,R
2021-01-29 09:19:00+05:30,78.0,77.8,R
2021-01-29 09:20:00+05:30,77.9,77.85,R
2021-01-29 15:20:00+05:30,75.3,75.25,R
2021-01-29 15:21:00+05:30,75.25,75.05,R
2021-01-29 15:22:00+05:30,75.1,75.05,R
2021-02-01 13:36:00+05:30,77.5,77.4,R
2021-02-01 13:37:00+05:30,77.4,77.35,R
2021-02-01 13:38:00+05:30,77.45,77.4,R
2021-02-01 15:14:00+05:30,80.2,80.1,R
2021-02-01 15:15:00+05:30,80.15,80.05,R
2021-02-01 15:16:00+05:30,80.1,80.05,R
2021-02-02 09:21:00+05:30,81.1,80.95,R
2021-02-02 09:22:00+05:30,80.95,80.65,R
2021-02-02 09:23:00+05:30,80.7,80.65,R
2021-02-02 10:46:00+05:30,80.35,80.25,R
2021-02-02 10:47:00+05:30,80.25,80.2,R
2021-02-02 10:48:00+05:30,80.25,80.2,R
2021-02-02 11:18:00+05:30,81.1,81.05,R
2021-02-02 11:19:00+05:30,81.0,80.9,R
2021-02-02 11:20:00+05:30,81.0,80.95,R
2021-02-02 13:33:00+05:30,81.6,81.55,R
2021-02-02 13:34:00+05:30,81.5,81.45,R
2021-02-02 13:35:00+05:30,81.5,81.45,R
2021-02-03 10:23:00+05:30,84.15,84.05,R
2021-02-03 10:24:00+05:30,84.05,83.75,R
2021-02-03 10:25:00+05:30,83.8,83.75,R
2021-02-03 11:15:00+05:30,84.95,84.9,R
2021-02-03 11:16:00+05:30,84.9,84.6,R
2021-02-03 11:17:00+05:30,84.75,84.65,R
2021-02-03 12:43:00+05:30,85.15,85.0,R
2021-02-03 12:44:00+05:30,85.05,84.7,R
2021-02-03 12:45:00+05:30,84.75,84.7,R
2021-02-03 13:07:00+05:30,84.75,84.7,R
2021-02-03 13:08:00+05:30,84.7,84.55,R
2021-02-03 13:09:00+05:30,84.6,84.55,R
2021-02-03 15:16:00+05:30,84.25,84.2,R
2021-02-03 15:17:00+05:30,84.2,84.05,R
2021-02-03 15:18:00+05:30,84.1,84.05,R
2021-02-03 15:17:00+05:30,84.2,84.05,R
2021-02-03 15:18:00+05:30,84.1,84.05,R
2021-02-03 15:19:00+05:30,84.15,84.1,R
2021-02-03 15:28:00+05:30,84.65,84.55,R
2021-02-03 15:29:00+05:30,84.55,84.4,R
2021-02-04 09:15:00+05:30,84.95,84.8,R
2021-02-04 09:28:00+05:30,87.2,87.1,R
2021-02-04 09:29:00+05:30,87.0,86.95,R
2021-02-04 09:30:00+05:30,87.0,86.95,R
2021-02-04 10:01:00+05:30,86.95,86.85,R
2021-02-04 10:02:00+05:30,86.85,86.65,R
2021-02-04 10:03:00+05:30,86.7,86.65,R
2021-02-04 10:45:00+05:30,87.8,87.6,R
2021-02-04 10:46:00+05:30,87.6,87.55,R
2021-02-04 10:47:00+05:30,87.6,87.55,R
2021-02-04 11:09:00+05:30,89.0,88.9,R
2021-02-04 11:10:00+05:30,88.8,88.75,R
2021-02-04 11:11:00+05:30,88.8,88.75,R
2021-02-04 11:16:00+05:30,88.65,88.6,R
2021-02-04 11:17:00+05:30,88.55,88.5,R
2021-02-04 11:18:00+05:30,88.6,88.55,R
2021-02-04 11:19:00+05:30,88.55,88.3,R
2021-02-04 11:20:00+05:30,88.3,88.15,R
2021-02-04 11:21:00+05:30,88.2,88.15,R
2021-02-04 12:38:00+05:30,88.5,88.45,R
2021-02-04 12:39:00+05:30,88.5,88.4,R
2021-02-04 12:40:00+05:30,88.45,88.4,R
2021-02-04 14:54:00+05:30,89.9,89.8,R
2021-02-04 14:55:00+05:30,89.85,89.8,R
2021-02-04 14:56:00+05:30,89.85,89.8,R
2021-02-04 14:55:00+05:30,89.85,89.8,R
2021-02-04 14:56:00+05:30,89.85,89.8,R
2021-02-04 14:57:00+05:30,89.85,89.8,R
2021-02-05 09:58:00+05:30,86.9,86.65,R
2021-02-05 09:59:00+05:30,86.65,86.35,R
2021-02-05 10:00:00+05:30,86.45,86.4,R
2021-02-05 11:25:00+05:30,88.55,88.5,R
2021-02-05 11:26:00+05:30,88.5,88.3,R
2021-02-05 11:27:00+05:30,88.4,88.3,R
2021-02-05 12:24:00+05:30,89.9,89.55,R
2021-02-05 12:25:00+05:30,89.6,89.45,R
2021-02-05 12:26:00+05:30,89.5,89.45,R
2021-02-05 13:32:00+05:30,87.95,87.55,R
2021-02-05 13:33:00+05:30,87.55,87.35,R
2021-02-05 13:34:00+05:30,87.5,87.4,R
2021-02-08 09:57:00+05:30,90.75,90.7,R
2021-02-08 09:58:00+05:30,90.7,90.6,R
2021-02-08 09:59:00+05:30,90.7,90.65,R
2021-02-08 10:38:00+05:30,89.7,89.55,R
2021-02-08 10:39:00+05:30,89.6,89.5,R
2021-02-08 10:40:00+05:30,89.55,89.5,R
2021-02-08 12:00:00+05:30,90.0,89.9,R
2021-02-08 12:01:00+05:30,89.95,89.85,R
2021-02-08 12:02:00+05:30,89.9,89.85,R
2021-02-08 13:26:00+05:30,90.05,90.0,R
2021-02-08 13:27:00+05:30,90.05,90.0,R
2021-02-08 13:28:00+05:30,90.05,90.0,R
2021-02-08 13:40:00+05:30,90.1,90.0,R
2021-02-08 13:41:00+05:30,90.1,89.9,R
2021-02-08 13:42:00+05:30,89.95,89.9,R
2021-02-08 13:41:00+05:30,90.1,89.9,R
2021-02-08 13:42:00+05:30,89.95,89.9,R
2021-02-08 13:43:00+05:30,90.0,89.9,R
2021-02-08 13:49:00+05:30,90.05,90.0,R
2021-02-08 13:50:00+05:30,90.0,89.95,R
2021-02-08 13:51:00+05:30,90.0,89.95,R
2021-02-08 14:01:00+05:30,90.2,90.15,R
2021-02-08 14:02:00+05:30,90.2,90.1,R
2021-02-08 14:03:00+05:30,90.15,90.1,R
2021-02-08 14:03:00+05:30,90.15,90.1,R
2021-02-08 14:04:00+05:30,90.15,90.05,R
2021-02-08 14:05:00+05:30,90.1,90.05,R
2021-02-08 14:04:00+05:30,90.15,90.05,R
2021-02-08 14:05:00+05:30,90.1,90.05,R
2021-02-08 14:06:00+05:30,90.1,90.05,R
2021-02-08 14:56:00+05:30,90.0,89.95,R
2021-02-08 14:57:00+05:30,89.95,89.85,R
2021-02-08 14:58:00+05:30,89.9,89.85,R
2021-02-08 14:57:00+05:30,89.95,89.85,R
2021-02-08 14:58:00+05:30,89.9,89.85,R
2021-02-08 14:59:00+05:30,89.9,89.85,R
2021-02-08 15:23:00+05:30,90.0,89.95,R
2021-02-08 15:24:00+05:30,90.0,89.9,R
2021-02-08 15:25:00+05:30,90.0,89.95,R
2021-02-08 15:28:00+05:30,89.95,89.9,R
2021-02-08 15:29:00+05:30,89.95,89.9,R
2021-02-09 09:15:00+05:30,90.15,90.05,R
2021-02-09 10:04:00+05:30,88.9,88.85,R
